,Time,WT,STIM1 KO\#1,STIM1 KO\#2,STIM2 KO\#1,STIM2 KO\#2
0,0.0,423.8796366666667,297.2621470588235,279.82347,327.49948499999994,327.54127
1,0.33145,392.1238966666666,299.01107647058825,281.17853499999995,328.60979,326.092095
2,0.6647,375.6024833333334,297.2261235294118,280.31606000000005,317.24722,321.28679999999997
3,0.99805,381.44732333333343,302.2419117647059,283.16711999999995,321.89116499999994,327.199895
4,1.33135,380.12307333333325,301.41329411764696,281.27960500000006,321.17740000000003,326.918705
5,1.66475,369.54543666666655,299.43413529411765,282.5882499999999,314.15942499999994,313.658875
6,1.99798333,380.1931533333333,297.97732941176463,282.43568500000003,320.781445,326.0326850000001
7,2.33133333,356.12754666666666,283.42360588235294,268.9481150000001,299.247385,301.304705
8,2.6647,344.4237900000001,256.5689588235294,238.51459999999997,291.6737099999999,309.973025
9,2.99796667,215.8652466666667,228.42632941176464,213.96897999999996,183.81218499999997,197.62265
10,3.3314,195.39082333333334,213.65308823529412,193.77681,185.63895999999997,191.50305500000002
11,3.66478333,189.2794766666667,202.41494117647056,182.38794000000001,187.99082,191.743685
12,3.99805,176.7762666666667,201.10139411764706,183.10290499999996,175.01196999999996,179.907125
13,4.33213333,179.4570633333333,201.8615882352941,183.69273,177.1978,182.888705
14,4.66478333,180.96889333333337,200.5306823529412,182.62319499999998,179.28289500000005,183.87926499999998
15,4.99803333,164.98792666666665,201.50187058823528,184.78532499999997,163.47391499999998,167.89953999999997
16,5.33148333,162.03239333333335,199.2558117647059,182.22709500000002,160.41105000000002,164.8997
17,5.66473333,166.2642833333333,200.50759411764705,184.45805,164.93402999999998,169.235365
18,5.99798333,154.65202333333335,200.44126470588233,183.720485,153.73678,157.11487000000002
19,6.33136667,156.05688333333333,198.8341294117647,183.08585,155.30415999999997,158.50025499999998
20,6.6647,159.81523333333337,197.7474,180.91310000000001,158.21913999999998,161.97023999999996
21,6.99818333,160.96416333333335,199.21362941176469,183.00176000000002,159.608365,163.20562499999997
22,7.33136667,154.62478,198.46963529411764,182.451155,153.541765,156.23836
23,7.66471667,150.06450333333333,199.25440588235298,184.15245000000002,149.599435,151.92530000000002
24,7.99798333,153.90221333333332,195.50607647058823,181.81416500000003,153.293075,155.631965
25,8.3314,160.30751999999998,195.71905294117647,181.091,159.80911499999996,162.410865
26,8.6646,164.57258333333328,195.31935294117648,180.76457,163.57187499999995,167.03339999999997
27,8.99811667,170.83340333333334,197.49183529411766,181.809395,168.600088,173.9195815
28,9.33138333,172.47224666666668,196.908094117647,182.62259999999998,170.11674,176.02155
29,9.66485,172.29956333333334,194.26351176470592,179.65043000000003,170.474035,175.81159499999998
30,9.99813333,167.4547366666667,195.3700294117647,179.84481499999998,165.07541,170.68835499999997
31,10.33145,158.31180333333333,197.39159411764703,182.21459,157.65749999999997,159.7054
32,10.6647333,159.82055666666665,194.7701117647059,180.07056499999996,159.683415,160.89863
33,10.9981333,165.35111333333327,196.1837411764706,182.65703000000002,165.499005,165.04559999999998
34,11.33145,178.53989666666666,193.3893294117647,178.927805,177.57238,179.676895
35,11.6647833,167.18294,193.44927058823527,179.52999999999997,167.49990499999996,166.48937500000002
36,11.9980667,174.70941333333332,195.41101176470582,183.34625,168.589975,165.26553000000004
37,12.33135,239.45522000000003,208.87828823529412,194.23364500000002,222.21608500000002,216.61287999999996
38,12.6646833,276.63000666666665,220.16430588235292,207.311975,251.54013999999998,237.96923
39,12.998,324.4940466666667,228.24996470588235,214.27269,288.01939,269.2735100000001
40,13.3314,362.48291000000006,237.18152352941178,223.73094500000008,316.26466500000004,292.112185
41,13.6646667,396.20345,248.76871176470584,233.023965,340.380315,311.11864
42,13.9981,420.9152833333332,252.57209411764705,232.68137000000002,348.8236099999999,321.8985
43,14.3314,453.13944,256.2687470588236,233.893365,360.420775,338.906765
44,14.6647,468.3232299999999,259.13921764705884,234.09331000000003,363.039835,338.6164400000001
45,14.9979667,478.3625133333334,258.1718823529412,229.667465,364.48061500000006,340.224975
